Source,Target
BDSU074,BDSU001
BDSU074,BDSU011
BDSU074,BDSU062
BDSU074,BDSU067
BDSU074,BDSU069
BDSU074,BDSU072
BDSU074,BDSU073
BDSU074,BDSU075
BDSU074,BDSU075
BDSU074,BDSU075
BDSU075,BDSU067
BDSU075,BDSU073
BDSU075,BDSU074
BDSU075,BDSU074
BDSU076,BDSU005
BDSU076,BDSU054
BDSU076,BDSU057
BDSU076,BDSU057
BDSU076,BDSU069
BDSU076,BDSU071
BDSU077,BDSU004
BDSU077,BDSU063
BDSU077,BDSU065
BDSU077,BDSU065
BDSU077,BDSU066
BDSU077,BDSU066
BDSU077,BDSU067
BDSU077,BDSU068
BDSU077,BDSU069
BDSU078,BDSU035
BDSU078,BDSU046
BDSU078,BDSU058
BDSU078,BDSU060
BDSU078,BDSU062
BDSU079,BDSU001
BDSU079,BDSU054
BDSU079,BDSU057
BDSU079,BDSU060
BDSU079,BDSU067
BDSU079,BDSU071
BDSU079,BDSU075
