ui,uj,distance
BDSU010,BDSU035,346.5507186
BDSU010,BDSU036,125.876809
BDSU010,BDSU037,177.4548113
BDSU010,BDSU038,37.59681457
BDSU010,BDSU039,90.99523071
BDSU010,BDSU040,39.8258338
BDSU010,BDSU041,69.4586428
BDSU010,BDSU042,59.10712719
BDSU010,BDSU043,20.85779927
BDSU010,BDSU044,56.29138381
BDSU010,BDSU045,18.57394451
BDSU010,BDSU046,195.6144577
BDSU010,BDSU047,200.2171244
BDSU010,BDSU048,57.58369069
BDSU010,BDSU049,20.35017041
BDSU010,BDSU050,176.9208899
BDSU010,BDSU051,146.7157852
BDSU010,BDSU052,243.8712908
BDSU010,BDSU053,224.1671928
BDSU010,BDSU054,251.6393749
BDSU010,BDSU055,231.1731902
BDSU010,BDSU056,244.9170502
BDSU010,BDSU057,233.439124
BDSU010,BDSU058,235.4820708
BDSU010,BDSU059,228.8769097
BDSU010,BDSU060,256.7198686
BDSU010,BDSU061,251.8537646
BDSU010,BDSU062,261.0242978
BDSU010,BDSU063,277.8685761
BDSU010,BDSU064,259.8514811
BDSU010,BDSU065,284.4317226
BDSU010,BDSU066,277.3316567
BDSU010,BDSU067,263.7664065
BDSU010,BDSU068,277.8685761
BDSU010,BDSU069,281.2628562
BDSU010,BDSU070,288.4361821
BDSU010,BDSU071,257.8067497
BDSU010,BDSU072,304.3254018
BDSU010,BDSU073,276.5338994
